08:11:37 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=File deliver, timestamp=2025-12-16 08:11:37.321046
08:11:37 16.12.2025 [             deliver.file]: |   INFO|: Files at C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo...
08:11:37 16.12.2025 [             deliver.file]: |  DEBUG|: User C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student
08:11:37 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\first, TASK_ID=first, USER_ID=Smart stud
08:11:37 16.12.2025 [             deliver.file]: |  DEBUG|: Added task first           for user Smart student  
08:11:37 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\student\second, TASK_ID=second, USER_ID=Smart st
08:11:37 16.12.2025 [             deliver.file]: |  DEBUG|: Added task second          for user Smart student  
08:11:37 16.12.2025 [             deliver.file]: |  DEBUG|: User C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka
08:11:37 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\first, TASK_ID=first, USER_ID=Beautifu
08:11:37 16.12.2025 [             deliver.file]: |  DEBUG|: Added task first           for user Beautiful student
08:11:37 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\studentka\second, TASK_ID=second, USER_ID=Beauti
08:11:37 16.12.2025 [             deliver.file]: |  DEBUG|: Added task second          for user Beautiful student
08:11:37 16.12.2025 [             deliver.file]: |  DEBUG|: User C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher
08:11:37 16.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f.C:\Users\lizig\Desktop\MSU-GZ-prac\sample\repo\teacher\first, TASK_ID=first, USER_ID=The teache
08:11:37 16.12.2025 [             deliver.file]: |  DEBUG|: Added task first           for user The teacher    
